"POSITION_ID";"POSITION_TYPE_ID";"DEPARTMENT_NAME";"NAME";"POSITION_TYPE";"STUDY_FORM";"PLAN_NAB";"PREDM";"CATEGORY";"ID_PREDM";"PREDM_EGE_ID";"EKZ_ORDER";"U_VUZ_SHORT"
"20200283";"3";"Юридический факультет ";"Юриспруденция (профили: Государственно-правовой; Гражданско-правовой профиль; Уголовно-правовой профиль)";"ПЛАТ";"Очная";"350";"Русский язык";"Б";"2020078";"01";"2";"БАК"
"20200284";"3";"Юридический факультет ";"Судебная и прокурорская деятельность (специализация: Судебная деятельность)";"ПЛАТ";"Очная";"200";"Русский язык";"С";"2020078";"01";"2";"СПЕЦ"
"20200285";"3";"Юридический факультет ";"Судебная и прокурорская деятельность (специализация: Прокурорская деятельность)";"ПЛАТ";"Очная";"200";"Русский язык";"С";"2020078";"01";"2";"СПЕЦ"
"20200286";"1";"Юридический факультет ";"Юриспруденция (профили: Государственно-правовой; Гражданско-правовой профиль; Уголовно-правовой профиль)";"БЮДЖ";"Очно-заочная";"19";"Русский язык";"Б";"2020078";"01";"2";"БАК"
"20200287";"3";"Факультет психологии ";"Психология";"ПЛАТ";"Очно-заочная";"75";"Математика";"Б";"2020075";"02";"2";"БАК"
"20200288";"3";"Юридический факультет ";"Юриспруденция (профили: Государственно-правовой; Гражданско-правовой профиль; Уголовно-правовой профиль)";"ПЛАТ";"Очно-заочная";"200";"Русский язык";"Б";"2020078";"01";"2";"БАК"
"20200289";"3";"Юридический факультет ";"Судебная и прокурорская деятельность (специализация: Судебная деятельность)";"ПЛАТ";"Очно-заочная";"150";"Русский язык";"С";"2020078";"01";"2";"СПЕЦ"
"20200290";"3";"Юридический факультет ";"Судебная и прокурорская деятельность (специализация: Прокурорская деятельность)";"ПЛАТ";"Очно-заочная";"150";"Русский язык";"С";"2020078";"01";"2";"СПЕЦ"
"20200291";"1";"Исторический факультет";"Педагогическое образование (с двумя профилями подготовки) (профиль: Педагогическое образование.История и обществознание)";"БЮДЖ";"Заочная";"21";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200292";"3";"Факультет компьютерных наук";"Информатика и вычислительная техника  (профиль: Компьютерные сети и телекоммуникации)";"ПЛАТ";"Заочная";"150";"Математика";"Б";"2020075";"02";"2";"БАК"
"20200293";"3";"Химический факультет";"Химическая технология (профиль: Химическая технология природных энергоносителей и углеродных материалов)";"ПЛАТ";"Заочная";"75";"Химия";"Б";"2020087";"04";"2";"БАК"
"20200294";"3";"Исторический факультет";"Социальная работа";"ПЛАТ";"Заочная";"75";"История";"Б";"2020073";"06";"2";"БАК"
"20200295";"3";"Исторический факультет";"Педагогическое образование (с двумя профилями подготовки) (профиль: Педагогическое образование.История и обществознание)";"ПЛАТ";"Заочная";"30";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200296";"3";"Исторический факультет";"История";"ПЛАТ";"Заочная";"30";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200297";"3";"Исторический факультет";"Документоведение и архивоведение";"ПЛАТ";"Заочная";"50";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200298";"3";"Факультет культуры и искусств";"Народная художественная культура (профиль: Руководство студией кино-, фото-, видеотворчества)";"ПЛАТ";"Заочная";"30";"Литература";"Б";"2020074";"07";"2";"БАК"
"20200299";"3";"Факультет культуры и искусств";"Социально-культурная деятельность (профиль: Менеджмент в социально-культурной деятельности)";"ПЛАТ";"Заочная";"30";"Литература";"Б";"2020074";"07";"2";"БАК"
"20200300";"3";"Факультет культуры и искусств";"Режиссура театрализованных представлений и праздников";"ПЛАТ";"Заочная";"30";"Литература";"Б";"2020074";"07";"2";"БАК"
"20200301";"3";"Факультет культуры и искусств";"Хореографическое искусство";"ПЛАТ";"Заочная";"30";"Литература";"Б";"2020074";"07";"2";"БАК"
"20200303";"3";"Факультет культуры и искусств";"Вокальное искусство (профиль: Академическое пение)";"ПЛАТ";"Заочная";"30";"Литература";"Б";"2020074";"07";"2";"БАК"
"20200304";"3";"Факультет культуры и искусств";"Искусство народного пения (профиль: Хоровое народное пение)";"ПЛАТ";"Заочная";"30";"Литература";"Б";"2020074";"07";"2";"БАК"
"20200305";"3";"Факультет теологии, философии и мировых культур";"Профессиональное обучение (по отраслям) (профиль: Декоративно-прикладное искусство и дизайн)";"ПЛАТ";"Заочная";"50";"Русский язык";"Б";"2020078";"01";"2";"БАК"
"20200306";"3";"Факультет физической культуры, реабилитации и спорта";"Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура) (профиль: Лечебная физическая культура)";"ПЛАТ";"Заочная";"50";"Биология";"Б";"2020069";"05";"2";"БАК"
"20200307";"3";"Факультет филологии и медиакоммуникаций";"Реклама и связи с общественностью (профиль: Современные медиатехнологии)";"ПЛАТ";"Заочная";"50";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200308";"3";"Факультет филологии и медиакоммуникаций";"Журналистика";"ПЛАТ";"Заочная";"50";"Русский язык";"Б";"2020078";"01";"2";"БАК"
"20200309";"3";"Экономический факультет";"Экономика (профили: Финансы и кредит; Налоги и налогообложение; Бухгалтерский учет, анализ и аудит)";"ПЛАТ";"Заочная";"150";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200310";"3";"Экономический факультет";"Менеджмент (профили: Управление проектами и процессами развития организаций; Менеджмент организации)";"ПЛАТ";"Заочная";"150";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200311";"3";"Экономический факультет";"Управление персоналом";"ПЛАТ";"Заочная";"150";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200312";"3";"Экономический факультет";"Государственное и муниципальное управление";"ПЛАТ";"Заочная";"150";"Обществознание";"Б";"2020076";"11";"2";"БАК"
"20200313";"3";"Юридический факультет ";"Юриспруденция (профили: Государственно-правовой; Гражданско-правовой профиль; Уголовно-правовой профиль)";"ПЛАТ";"Заочная";"200";"Русский язык";"Б";"2020078";"01";"2";"БАК"
"20200314";"3";"Юридический факультет ";"Судебная и прокурорская деятельность (специализация: Судебная деятельность)";"ПЛАТ";"Заочная";"200";"Русский язык";"С";"2020078";"01";"2";"СПЕЦ"
"20200315";"3";"Юридический факультет ";"Судебная и прокурорская деятельность (специализация: Прокурорская деятельность)";"ПЛАТ";"Заочная";"200";"Русский язык";"С";"2020078";"01";"2";"СПЕЦ"
"20200176";"1";"Институт математики и информационных технологий ";"Прикладная математика и информатика ";"БЮДЖ";"Очная";"68";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200177";"1";"Институт математики и информационных технологий ";"Фундаментальные математика и механика (профиль: Фундаментальная математика)";"БЮДЖ";"Очная";"17";"Русский язык";"С";"2020078";"01";"3";"СПЕЦ"
"20200196";"1";"Исторический факультет";"Антропология и этнология";"БЮДЖ";"Очная";"13";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200197";"1";"Исторический факультет";"Музеология и охрана объектов культурного и природного наследия";"БЮДЖ";"Очная";"15";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200198";"1";"Факультет культуры и искусств";"Режиссура театрализованных представлений и праздников";"БЮДЖ";"Очная";"13";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200199";"1";"Факультет культуры и искусств";"Хореографическое искусство";"БЮДЖ";"Очная";"10";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200200";"1";"Факультет культуры и искусств";"Театроведение";"БЮДЖ";"Очная";"7";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200204";"1";"Факультет культуры и искусств";"Вокальное искусство (профиль: Академическое пение)";"БЮДЖ";"Очная";"4";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200205";"1";"Факультет культуры и искусств";"Искусство народного пения (профиль: Хоровое народное пение)";"БЮДЖ";"Очная";"4";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200208";"1";"Факультет культуры и искусств";"Режиссура кино и телевидения (специализация: Режиссер мультимедиа, педагог)";"БЮДЖ";"Очная";"9";"Русский язык";"С";"2020078";"01";"3";"СПЕЦ"
"20200209";"1";"Экономический факультет";"Экономика (профили: Мировая экономика, Цифровая экономика)";"БЮДЖ";"Очная";"5";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200210";"1";"Экономический факультет";"Менеджмент (профили: Интернет-маркетинг, Маркетинг)";"БЮДЖ";"Очная";"5";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200211";"1";"Факультет филологии и медиакоммуникаций";"Реклама и связи с общественностью (профиль: Реклама и связи с общественностью в коммерческой сфере)";"БЮДЖ";"Очная";"4";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200212";"1";"Факультет психологии ";"Организация работы с молодежью (профиль: Социально-гуманитарные технологии сопровождения молодежных инициатив)";"БЮДЖ";"Очная";"12";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200213";"1";"Факультет теологии, философии и мировых культур";"Прикладная этика (профиль: Бизнес-этика)";"БЮДЖ";"Очная";"11";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200214";"1";"Факультет теологии, философии и мировых культур";"Теология";"БЮДЖ";"Очная";"26";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200215";"1";"Факультет физической культуры, реабилитации и спорта";"Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура) (профиль: Лечебная физическая культура)";"БЮДЖ";"Очная";"18";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200216";"1";"Факультет филологии и медиакоммуникаций";"Реклама и связи с общественностью (профиль: Современные медиатехнологии)";"БЮДЖ";"Очная";"8";"История";"Б";"2020073";"06";"3";"БАК"
"20200217";"1";"Факультет филологии и медиакоммуникаций";"Журналистика";"БЮДЖ";"Очная";"8";"Обществознание";"Б";"2020076";"11";"3";"БАК"
"20200223";"1";"Экономический факультет";"Управление персоналом";"БЮДЖ";"Очная";"5";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200224";"1";"Экономический факультет";"Государственное и муниципальное управление";"БЮДЖ";"Очная";"4";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200225";"1";"Экономический факультет";"Бизнес-информатика";"БЮДЖ";"Очная";"4";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200226";"1";"Юридический факультет ";"Юриспруденция (профили: Государственно-правовой; Гражданско-правовой профиль; Уголовно-правовой профиль)";"БЮДЖ";"Очная";"19";"История";"Б";"2020073";"06";"3";"БАК"
"20200227";"1";"Юридический факультет ";"Судебная и прокурорская деятельность (специализация: Судебная деятельность)";"БЮДЖ";"Очная";"5";"История";"С";"2020073";"06";"3";"СПЕЦ"
"20200228";"1";"Юридический факультет ";"Судебная и прокурорская деятельность (специализация: Прокурорская деятельность)";"БЮДЖ";"Очная";"8";"История";"С";"2020073";"06";"3";"СПЕЦ"
"20200229";"3";"Институт математики и информационных технологий ";"Прикладная математика и информатика ";"ПЛАТ";"Очная";"50";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200230";"3";"Институт математики и информационных технологий ";"Фундаментальные математика и механика (профиль: Фундаментальная математика)";"ПЛАТ";"Очная";"20";"Русский язык";"С";"2020078";"01";"3";"СПЕЦ"
"20200231";"3";"Факультет компьютерных наук";"Математика и компьютерные науки (профиль: Вычислительные, программные, информационные системы и компьютерные технологии)";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200232";"3";"Факультет компьютерных наук";"Компьютерная безопасность  (специализация: Анализ безопасности компьютерных систем)";"ПЛАТ";"Очная";"30";"Русский язык";"С";"2020078";"01";"3";"СПЕЦ"
"20200233";"3";"Факультет компьютерных наук";"Информационная безопасность  (профиль: Безопасность компьютерных систем)";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200241";"3";"Химический факультет";"Химия (профили: Аналитическая химия; Неорганическая химия; Органическая химия)";"ПЛАТ";"Очная";"50";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200242";"3";"Химический факультет";"Химическая технология (профиль: Химическая технология природных энергоносителей и углеродных материалов)";"ПЛАТ";"Очная";"50";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200243";"3";"Химический факультет";"Экология и природопользование (профиль: Урбоэкология)";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200244";"3";"Факультет иностранных языков";"Лингвистика (профили: Перевод и переводоведение, Теория и методика преподавания иностранных языков и культур)";"ПЛАТ";"Очная";"150";"История";"Б";"2020073";"06";"3";"БАК"
"20200245";"3";"Исторический факультет";"Социальная работа";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200246";"3";"Исторический факультет";"Политология";"ПЛАТ";"Очная";"50";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200247";"3";"Исторический факультет";"Международные отношения";"ПЛАТ";"Очная";"75";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200248";"3";"Исторический факультет";"История";"ПЛАТ";"Очная";"50";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200252";"3";"Факультет культуры и искусств";"Социально-культурная деятельность (профиль: Менеджмент в социально-культурной деятельности)";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200253";"3";"Факультет культуры и искусств";"Режиссура театрализованных представлений и праздников";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200254";"3";"Факультет культуры и искусств";"Хореографическое искусство";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200255";"3";"Факультет культуры и искусств";"Театроведение";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200256";"3";"Факультет культуры и искусств";"Актерское искусство (специализации: Артист драматического театра и кино; Артист музыкального театра)";"ПЛАТ";"Очная";"50";"Русский язык";"С";"2020078";"01";"3";"СПЕЦ"
"20200257";"3";"Факультет культуры и искусств";"Музыкальное искусство эстрады (профиль: Эстрадно-джазовое пение)";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200258";"3";"Факультет культуры и искусств";"Музыкально-инструментальное искусство (профили: Фортепиано; Баян, аккордеон и струнные щипковые инструменты)";"ПЛАТ";"Очная";"30";"Русский язык";"Б";"2020078";"01";"3";"БАК"
"20200002";"1";"Аспирантура";"Математика и механика. Математическая логика, алгебра и теория чисел";"БЮДЖ";"Очная";"1";"Математика и механика. Математическая логика, алгебра и теория чисел";"А";"2020002";"";"1";"АСП"
"20200011";"1";"Аспирантура";"Исторические науки и археология. Историография, источниковедение и методы исторического исследования";"БЮДЖ";"Очная";"1";"Исторические науки и археология. Историография, источниковедение и методы исторического исследования";"А";"2020032";"";"1";"АСП"
"20200015";"3";"Аспирантура";"Физика и астрономия. Теоретическая физика";"ПЛАТ";"Очная";"5";"Физика и астрономия. Теоретическая физика";"А";"2020004";"";"1";"АСП"
"20200019";"3";"Аспирантура";"Химические науки. Физическая химия";"ПЛАТ";"Очная";"5";"Химические науки. Физическая химия";"А";"2020007";"";"1";"АСП"
"20200020";"3";"Аспирантура";"Биологические науки. Физиология";"ПЛАТ";"Очная";"5";"Биологические науки. Физиология";"А";"2020009";"";"1";"АСП"
"20200021";"3";"Аспирантура";"Биологические науки. Биофизика";"ПЛАТ";"Очная";"5";"Биологические науки. Биофизика";"А";"2020008";"";"1";"АСП"
"20200022";"3";"Аспирантура";"Информатика и вычислительная техника. Математическое и программное обеспечение вычислительных машин, комплексов и компьютерных сетей";"ПЛАТ";"Очная";"5";"Информатика и вычислительная техника. Математическое и программное обеспечение вычислительных машин, комплексов и компьютерных сетей";"А";"2020010";"";"1";"АСП"
"20200023";"3";"Аспирантура";"Информатика и вычислительная техника. Системный анализ, управление и обработка информации (по отраслям) ";"ПЛАТ";"Очная";"5";"Информатика и вычислительная техника. Системный анализ, управление и обработка информации (по отраслям) ";"А";"2020012";"";"1";"АСП"
